"id","subjourney_id","service_name","short_name","is_primary","resp","p95","errRate","avail"
1,"S1_1","Enrollment Administration System - AS","EAS",True,222,345,"0.2","99.61"
2,"S1_2","GC eEnrolment Member Application - AS","eEnrolment",True,101,215,"0.23","98.81"
3,"S1_3","Application Data Store - AS","ADS",True,86,189,"0.14","99.05"
4,"S2_1","GroupNet for Plan Administration - AS","GnPA",True,127,198,"0.02","99.39"
5,"S2_2","Head office Billing System - AS","HOBS",True,111,194,"0.03","99.72"
6,"S2_3","Automated Contracts Environment - AS","ACE",True,132,190,"0.08","99.85"
10,"S4_1","Disability Claims Tracking - AS","DCT",True,231,344,"0.38","99.06"
11,"S5_1","Group Pension Administration System - AS","GPAS",True,173,240,"0.33","99.21"
12,"S3_4","Benefits - AS","BEN",True,450,650,"5.5","94.2"
13,"S3_4","Data Entry Benefits System - AS","DEBS",True,109,194,"0.09","98.65"
14,"S3_4","Automation - AS","Auto",True,246,327,"0.06","98.92"
15,"S3_4","eClaims - AS","eClaims",True,380,540,"3.2","96.4"
