"id","journey_id","name","mapping_name","status","resp","p95","errRate","avail","happy","unhappy","frustrated","alerts","short_name"
"S1_1","J1","Plan Member Onboarding & Digital Enrollment","Enrollment Administration System - AS","ok",222,345,"0.2","99.61",95,7,-2,0,"EAS"
"S1_2","J1","Member Portal / E-Enrolment","GC eEnrolment Member Application - AS","ok",101,215,"0.23","98.81",89,4,7,0,"eEnrolment"
"S1_3","J1","Core Member Data & Operational Storage","Application Data Store - AS","warning",86,189,"0.14","99.05",79,11,10,0,"ADS"
"S2_1","J2","Group Contract & Underwriting Setup","GroupNet for Plan Administration - AS","warning",127,198,"0.02","99.39",74,8,18,0,"GnPA"
"S2_2","J2","Plan Sponsor Billing & Premium Collection","Head office Billing System - AS","ok",111,194,"0.03","99.72",89,10,1,0,"HOBS"
"S2_3","J2","Automated Contract Generation","Automated Contracts Environment - AS","ok",132,190,"0.08","99.85",95,5,0,0,"ACE"
"S3_1","J3","Claims Intake Support","Data Entry Benefits System - AS","ok",109,194,"0.09","98.65",81,11,8,0,"DEBS"
"S3_2","J3","Benefit Adjudication (Manual and Straight-Through)","Benefits - AS","critical",450,650,"5.5","94.2",55,30,15,3,"BEN"
"S3_3","J3","Claim Process Automation","Automation - AS","ok",246,327,"0.06","98.92",91,3,6,0,"Auto"
"S3_4","J3","Claim Adjudication","Multi-Service Adjudication Ecosystem","critical",380,540,"3.2","96.4",68,20,12,3,"Adjudication"
"S4_1","J4","Disability Case and Rehabilitation Management","Disability Claims Tracking - AS","ok",231,344,"0.38","99.06",88,7,5,0,"DCT"
"S5_1","J5","Workplace Savings & Pension Record-Keeping","Group Pension Administration System - AS","ok",173,240,"0.33","99.21",83,8,9,0,"GPAS"
